x,y,z,class,paths
6.36E+00,1.07E+01,4.39E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1188-1192.wav
6.18E+00,1.36E+01,5.46E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1192-1197.wav
6.94E+00,1.45E+01,6.17E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1197-1201.wav
6.37E+00,1.33E+01,5.35E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_121-126.wav
6.09E+00,1.23E+01,4.98E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_126-130.wav
6.34E+00,1.29E+01,5.23E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_13-18.wav
6.40E+00,1.34E+01,5.37E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_130-135.wav
6.73E+00,1.41E+01,5.89E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_135-139.wav
6.27E+00,1.28E+01,5.18E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_139-144.wav
6.33E+00,1.30E+01,5.23E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_144-148.wav
7.17E+00,1.48E+01,6.37E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_148-153.wav
6.72E+00,1.40E+01,5.85E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_153-157.wav
6.27E+00,1.31E+01,5.26E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_157-162.wav
6.93E+00,1.45E+01,6.16E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_162-166.wav
6.92E+00,1.45E+01,6.15E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_166-171.wav
6.35E+00,1.29E+01,5.21E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_171-175.wav
-5.54E-01,1.04E+01,2.95E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_175-180.wav
6.37E+00,1.30E+01,5.27E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_18-22.wav
7.20E+00,1.48E+01,6.41E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_180-184.wav
6.94E+00,1.45E+01,6.18E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_184-189.wav
6.17E+00,1.36E+01,5.47E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_189-193.wav
7.30E+00,1.49E+01,6.51E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_193-198.wav
6.96E+00,1.45E+01,6.19E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_198-202.wav
7.74E+00,1.51E+01,6.85E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_202-207.wav
6.04E+00,1.26E+01,5.08E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_207-211.wav
6.33E+00,1.07E+01,4.38E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_211-216.wav
6.22E+00,1.29E+01,5.20E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_216-220.wav
7.13E+00,1.47E+01,6.33E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_22-27.wav
6.30E+00,1.07E+01,4.41E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_220-225.wav
6.09E+00,1.23E+01,4.98E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_225-229.wav
6.57E+00,1.03E+01,4.18E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_229-234.wav
6.37E+00,1.06E+01,4.37E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_234-238.wav
6.03E+00,1.26E+01,5.07E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_238-243.wav
6.64E+00,1.02E+01,4.15E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_243-247.wav
6.90E+00,1.44E+01,6.14E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_247-252.wav
6.98E+00,1.45E+01,6.20E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_252-256.wav
6.18E+00,1.35E+01,5.39E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_256-261.wav
7.24E+00,1.48E+01,6.44E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_261-265.wav
7.14E+00,1.47E+01,6.36E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_265-270.wav
7.18E+00,1.48E+01,6.38E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_27-31.wav
7.14E+00,1.47E+01,6.36E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_270-274.wav
6.33E+00,1.07E+01,4.38E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_274-279.wav
6.08E+00,1.23E+01,4.99E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_279-283.wav
6.20E+00,1.35E+01,5.43E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_283-288.wav
6.95E+00,1.45E+01,6.18E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_288-292.wav
6.07E+00,1.31E+01,5.24E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_292-297.wav
7.23E+00,1.48E+01,6.44E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_297-301.wav
7.01E+00,1.45E+01,6.21E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_301-306.wav
7.72E+00,1.51E+01,6.83E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_306-310.wav
7.71E+00,1.51E+01,6.86E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_31-36.wav
7.05E+00,1.44E+01,6.25E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_310-315.wav
7.58E+00,1.51E+01,6.74E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_315-319.wav
6.60E+00,1.40E+01,5.76E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_319-324.wav
6.56E+00,1.41E+01,5.83E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_324-328.wav
6.73E+00,1.01E+01,4.09E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_328-333.wav
6.39E+00,1.06E+01,4.35E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_333-337.wav
6.41E+00,1.06E+01,4.33E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_337-342.wav
6.47E+00,1.05E+01,4.27E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_342-346.wav
6.42E+00,1.06E+01,4.31E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_346-351.wav
6.01E+00,1.26E+01,5.10E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_351-355.wav
6.03E+00,1.24E+01,5.02E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_355-360.wav
7.74E+00,1.52E+01,6.87E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_36-40.wav
6.04E+00,1.28E+01,5.14E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_360-364.wav
6.14E+00,1.30E+01,5.22E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_364-369.wav
6.02E+00,1.25E+01,5.08E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_369-373.wav
6.01E+00,1.26E+01,5.08E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_373-378.wav
6.44E+00,1.05E+01,4.29E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_378-382.wav
6.43E+00,1.05E+01,4.30E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_382-387.wav
6.05E+00,1.27E+01,5.12E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_387-391.wav
6.10E+00,1.34E+01,5.34E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_391-396.wav
6.43E+00,1.05E+01,4.30E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_396-400.wav
6.40E+00,1.32E+01,5.33E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_4-9.wav
6.49E+00,1.32E+01,5.32E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_40-45.wav
6.43E+00,1.06E+01,4.31E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_400-405.wav
6.38E+00,1.06E+01,4.35E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_405-409.wav
6.41E+00,1.06E+01,4.33E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_409-414.wav
6.69E+00,1.02E+01,4.11E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_414-418.wav
6.72E+00,1.01E+01,4.09E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_418-423.wav
6.03E+00,1.23E+01,5.00E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_423-427.wav
6.83E+00,1.43E+01,6.06E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_427-432.wav
7.37E+00,1.50E+01,6.56E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_432-436.wav
7.71E+00,1.51E+01,6.83E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_436-441.wav
7.42E+00,1.50E+01,6.60E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_441-445.wav
7.46E+00,1.50E+01,6.63E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_445-450.wav
6.49E+00,1.32E+01,5.32E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_45-49.wav
6.98E+00,1.45E+01,6.21E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_450-454.wav
6.79E+00,1.43E+01,6.03E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_454-459.wav
7.73E+00,1.52E+01,6.85E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_459-463.wav
7.57E+00,1.51E+01,6.73E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_463-468.wav
6.70E+00,1.42E+01,5.93E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_468-472.wav
6.54E+00,1.03E+01,4.20E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_472-477.wav
6.47E+00,1.05E+01,4.27E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_477-481.wav
6.43E+00,1.06E+01,4.32E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_481-486.wav
5.98E+00,1.32E+01,5.32E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_486-490.wav
6.51E+00,1.32E+01,5.34E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_49-54.wav
6.99E+00,1.45E+01,6.22E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_490-495.wav
6.97E+00,1.45E+01,6.19E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_495-499.wav
6.11E+00,1.34E+01,5.33E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_499-504.wav
6.57E+00,1.41E+01,5.83E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_504-508.wav
6.71E+00,1.01E+01,4.10E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_508-513.wav
6.12E+00,1.36E+01,5.49E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_513-517.wav
7.14E+00,1.44E+01,6.30E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_517-522.wav
6.82E+00,1.43E+01,6.05E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_522-526.wav
7.50E+00,1.50E+01,6.67E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_526-531.wav
6.55E+00,1.41E+01,5.82E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_531-535.wav
6.48E+00,1.05E+01,4.26E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_535-540.wav
6.50E+00,1.33E+01,5.41E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_54-58.wav
6.02E+00,1.24E+01,5.02E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_540-544.wav
6.51E+00,1.40E+01,5.75E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_544-549.wav
5.96E+00,1.26E+01,5.10E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_549-553.wav
5.97E+00,1.25E+01,5.07E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_553-558.wav
7.63E+00,1.51E+01,6.77E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_558-562.wav
6.13E+00,1.30E+01,5.21E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_562-567.wav
5.97E+00,1.32E+01,5.35E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_567-571.wav
6.38E+00,1.07E+01,4.39E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_571-576.wav
7.05E+00,1.44E+01,6.25E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_576-580.wav
6.45E+00,1.31E+01,5.31E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_58-63.wav
6.57E+00,1.41E+01,5.80E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_580-585.wav
6.37E+00,1.06E+01,4.37E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_585-589.wav
6.38E+00,1.39E+01,5.69E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_589-594.wav
5.96E+00,1.26E+01,5.09E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_594-598.wav
5.98E+00,1.25E+01,5.06E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_598-603.wav
6.38E+00,1.07E+01,4.39E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_603-607.wav
6.31E+00,1.38E+01,5.62E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_607-612.wav
6.11E+00,1.36E+01,5.45E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_612-616.wav
7.45E+00,1.50E+01,6.63E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_616-621.wav
7.72E+00,1.51E+01,6.84E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_621-625.wav
6.16E+00,1.29E+01,5.19E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_625-630.wav
6.36E+00,1.06E+01,4.33E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_63-67.wav
6.31E+00,1.07E+01,4.40E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_630-634.wav
7.49E+00,1.50E+01,6.66E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_634-639.wav
6.58E+00,1.41E+01,5.81E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_639-643.wav
7.28E+00,1.49E+01,6.49E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_643-648.wav
7.46E+00,1.50E+01,6.64E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_648-652.wav
7.35E+00,1.49E+01,6.55E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_652-657.wav
6.55E+00,1.40E+01,5.76E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_657-661.wav
6.97E+00,1.45E+01,6.21E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_661-666.wav
6.98E+00,1.45E+01,6.21E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_666-670.wav
6.08E+00,1.23E+01,4.99E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_67-72.wav
6.71E+00,1.42E+01,5.95E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_670-675.wav
6.46E+00,1.40E+01,5.73E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_675-679.wav
6.54E+00,1.40E+01,5.76E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_679-684.wav
6.18E+00,1.36E+01,5.45E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_684-688.wav
6.56E+00,1.40E+01,5.78E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_688-693.wav
6.39E+00,1.33E+01,5.35E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_693-697.wav
6.12E+00,1.31E+01,5.25E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_697-702.wav
6.05E+00,1.23E+01,5.00E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_702-706.wav
6.89E+00,9.97E+00,4.05E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_706-711.wav
6.37E+00,1.07E+01,4.38E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_711-715.wav
6.17E+00,1.37E+01,5.51E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_715-720.wav
6.34E+00,1.07E+01,4.37E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_72-76.wav
6.16E+00,1.32E+01,5.26E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_720-724.wav
6.27E+00,1.33E+01,5.32E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_724-729.wav
7.33E+00,1.49E+01,6.53E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_729-733.wav
6.49E+00,1.40E+01,5.72E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_733-738.wav
6.09E+00,1.22E+01,4.97E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_738-742.wav
6.96E+00,1.45E+01,6.19E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_742-747.wav
6.79E+00,1.00E+01,4.04E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_747-751.wav
6.70E+00,1.01E+01,4.11E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_751-756.wav
6.47E+00,1.05E+01,4.26E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_756-760.wav
6.57E+00,1.35E+01,5.49E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_76-81.wav
