x,y,z,class,paths
-1.22E+00,8.31E+00,4.02E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_148-153.wav
-1.38E+00,8.06E+00,3.36E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_153-157.wav
-1.29E+00,7.98E+00,2.07E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_157-162.wav
-1.02E+00,8.15E+00,4.83E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_162-166.wav
-1.25E+00,7.99E+00,1.82E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_166-171.wav
-9.89E-01,8.21E+00,7.38E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_171-175.wav
-1.28E+00,7.93E+00,1.81E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_175-180.wav
-1.41E+00,1.06E+01,2.23E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_18-22.wav
-1.29E+00,8.32E+00,5.20E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_180-184.wav
1.19E+00,7.20E+00,3.72E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_184-189.wav
1.25E+00,7.20E+00,3.86E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_189-193.wav
5.56E-01,7.15E+00,1.97E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_193-198.wav
-9.16E-01,8.93E+00,1.41E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_198-202.wav
-9.37E-01,8.98E+00,1.45E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_202-207.wav
1.18E+00,7.21E+00,3.53E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_207-211.wav
6.23E-01,7.17E+00,1.92E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_211-216.wav
-1.01E+00,8.23E+00,7.33E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_216-220.wav
-1.35E+00,1.06E+01,2.16E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_22-27.wav
-1.13E+00,9.92E+00,1.75E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_220-225.wav
-1.00E+00,9.11E+00,1.58E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_225-229.wav
-1.33E+00,8.33E+00,5.49E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_229-234.wav
-1.34E+00,1.01E+01,1.94E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_234-238.wav
-1.35E+00,1.00E+01,1.92E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_238-243.wav
-1.33E+00,1.00E+01,1.93E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_243-247.wav
-1.36E+00,1.00E+01,1.91E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_247-252.wav
-1.23E+00,1.03E+01,1.87E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_252-256.wav
-1.03E+00,8.16E+00,6.34E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_256-261.wav
-1.39E+00,8.31E+00,5.46E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_261-265.wav
-1.42E+00,8.59E+00,1.35E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_265-270.wav
-1.38E+00,1.13E+01,1.96E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_27-31.wav
-1.07E+00,8.95E+00,1.85E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_270-274.wav
-1.33E+00,8.58E+00,1.36E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_274-279.wav
-8.36E-01,8.81E+00,2.11E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_279-283.wav
-1.45E+00,7.68E+00,3.73E-02,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_283-288.wav
-9.91E-01,8.72E+00,1.58E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_288-292.wav
-1.03E+00,8.97E+00,1.88E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_292-297.wav
-1.02E+00,8.04E+00,3.52E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_297-301.wav
-1.24E+00,8.01E+00,1.91E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_301-306.wav
-9.88E-01,8.06E+00,3.65E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_306-310.wav
-1.40E+00,1.08E+01,2.10E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_31-36.wav
-9.97E-01,8.12E+00,4.32E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_310-315.wav
-1.06E+00,9.61E+00,2.00E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_315-319.wav
-7.51E-01,9.27E+00,2.36E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_319-324.wav
-6.18E-01,8.33E+00,1.65E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_324-328.wav
-6.12E-01,8.34E+00,1.68E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_328-333.wav
-9.58E-01,8.67E+00,1.59E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_333-337.wav
-1.23E+00,8.31E+00,5.65E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_337-342.wav
-1.06E+00,8.68E+00,1.49E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_342-346.wav
-9.97E-01,8.71E+00,1.60E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_346-351.wav
-2.24E+00,6.98E+00,-5.99E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_351-355.wav
-1.68E+00,1.05E+01,2.19E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_355-360.wav
-1.13E+00,9.91E+00,1.88E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_36-40.wav
-2.62E+00,7.14E+00,-3.71E-02,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_360-364.wav
-1.34E+00,7.81E+00,1.56E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_364-369.wav
-9.63E-01,1.04E+01,2.36E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_369-373.wav
-1.45E+00,1.11E+01,2.07E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_373-378.wav
-1.10E+00,1.17E+01,2.11E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_378-382.wav
-1.08E+00,1.17E+01,2.17E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_382-387.wav
-9.89E-01,1.12E+01,2.23E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_387-391.wav
-1.04E+00,1.10E+01,2.15E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_391-396.wav
-9.29E-01,1.08E+01,2.86E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_396-400.wav
-1.00E+00,1.11E+01,2.28E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_4-9.wav
-1.18E+00,1.02E+01,1.83E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_40-45.wav
-5.51E-01,9.84E+00,2.96E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_400-405.wav
-1.20E+00,1.04E+01,1.87E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_405-409.wav
-1.27E+00,1.06E+01,1.97E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_409-414.wav
-1.04E+00,9.03E+00,1.89E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_414-418.wav
-1.05E+00,9.56E+00,2.01E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_418-423.wav
-1.06E+00,8.94E+00,1.84E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_423-427.wav
-1.58E+00,1.03E+01,2.47E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_427-432.wav
-1.51E+00,7.36E+00,2.05E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_432-436.wav
-1.44E+00,8.28E+00,5.35E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_436-441.wav
-1.42E+00,8.25E+00,5.24E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_441-445.wav
-1.02E+00,8.69E+00,1.56E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_445-450.wav
-7.76E-01,8.53E+00,1.75E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_45-49.wav
-1.55E+00,7.32E+00,1.93E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_450-454.wav
-9.63E-01,8.21E+00,7.88E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_454-459.wav
-1.36E+00,8.67E+00,1.54E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_459-463.wav
-1.05E+00,8.94E+00,1.83E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_463-468.wav
-1.06E+00,8.74E+00,1.51E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_468-472.wav
-6.93E-01,9.23E+00,2.44E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_472-477.wav
-1.94E+00,5.21E+00,-3.81E-02,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_477-481.wav
-5.54E-01,9.26E+00,2.64E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_481-486.wav
-5.95E-01,9.32E+00,2.64E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_486-490.wav
-1.08E+00,9.69E+00,2.03E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_49-54.wav
-1.46E+00,1.05E+01,2.19E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_490-495.wav
-4.49E-01,9.19E+00,2.72E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_495-499.wav
-5.06E-01,8.32E+00,1.94E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_499-504.wav
-5.40E-01,8.30E+00,1.74E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_504-508.wav
-9.52E-02,6.04E+00,-2.26E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_508-513.wav
-4.83E-01,8.01E+00,1.68E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_513-517.wav
-4.65E-01,8.03E+00,1.65E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_517-522.wav
-3.15E-01,6.94E+00,6.74E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_522-526.wav
-4.73E-01,8.02E+00,1.65E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_526-531.wav
-1.73E+00,6.17E+00,-7.97E-02,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_531-535.wav
-8.55E-02,7.47E+00,2.92E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_535-540.wav
-1.07E+00,8.21E+00,5.64E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_54-58.wav
-1.10E-01,7.50E+00,2.80E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_540-544.wav
-4.62E-01,8.08E+00,2.05E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_544-549.wav
-3.45E-01,6.97E+00,1.74E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_549-553.wav
-4.62E-01,8.14E+00,2.09E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_553-558.wav
-2.15E-01,8.47E+00,1.47E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_558-562.wav
1.37E+00,7.18E+00,3.83E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_562-567.wav
1.35E+00,7.18E+00,3.89E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_567-571.wav
9.34E-01,7.19E+00,2.73E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_571-576.wav
9.29E-01,7.20E+00,2.76E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_576-580.wav
-1.10E+00,9.77E+00,2.02E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_58-63.wav
1.24E+00,7.16E+00,3.28E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_580-585.wav
7.00E-01,7.21E+00,2.39E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_585-589.wav
-1.18E+00,6.33E+00,-6.70E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_589-594.wav
-1.96E-02,7.20E+00,1.50E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_594-598.wav
-1.03E+00,8.63E+00,1.44E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_598-603.wav
-1.05E+00,8.66E+00,1.50E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_603-607.wav
-1.08E+00,8.19E+00,5.25E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_607-612.wav
-3.88E-01,8.00E+00,1.57E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_612-616.wav
-5.17E-01,8.29E+00,1.72E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_616-621.wav
-2.56E+00,6.99E+00,-2.36E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_621-625.wav
-1.94E-01,8.46E+00,1.45E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_625-630.wav
-1.22E+00,1.00E+01,2.05E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_63-67.wav
4.00E-02,7.56E+00,1.30E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_630-634.wav
-2.34E-01,7.75E+00,1.47E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_634-639.wav
-6.52E-01,8.37E+00,1.70E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_639-643.wav
-2.33E+00,6.94E+00,-7.21E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_643-648.wav
-2.16E-01,8.46E+00,1.47E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_648-652.wav
-2.12E-01,8.48E+00,1.47E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_652-657.wav
7.70E-01,7.20E+00,1.65E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_657-661.wav
1.13E+01,9.38E+00,5.77E+00,1,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_661-666.wav
1.38E+00,7.17E+00,4.17E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_666-670.wav
-1.42E+00,8.33E+00,6.02E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_67-72.wav
1.36E+00,7.17E+00,4.11E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_670-675.wav
1.35E+00,7.18E+00,4.00E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_675-679.wav
-2.25E+00,6.98E+00,-6.72E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_679-684.wav
1.18E+00,7.20E+00,3.47E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_684-688.wav
1.36E+00,7.18E+00,3.92E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_688-693.wav
1.38E+00,7.16E+00,4.09E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_693-697.wav
1.17E+00,7.21E+00,3.45E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_697-702.wav
-8.74E-01,7.65E+00,8.22E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_702-706.wav
-9.69E-01,8.03E+00,3.64E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_706-711.wav
-9.52E-01,8.04E+00,3.82E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_711-715.wav
1.29E+00,7.19E+00,3.86E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_715-720.wav
-1.03E+00,9.22E+00,1.72E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_72-76.wav
-1.59E-01,7.28E+00,3.13E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_720-724.wav
-4.92E-01,8.04E+00,1.74E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_724-729.wav
-8.77E-01,7.63E+00,3.12E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_729-733.wav
-6.60E-01,7.66E+00,1.77E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_733-738.wav
1.19E+00,7.23E+00,3.59E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_738-742.wav
1.32E+00,7.16E+00,4.18E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_742-747.wav
1.26E+00,7.20E+00,3.88E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_747-751.wav
1.27E+00,7.21E+00,4.05E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_751-756.wav
1.24E+00,7.20E+00,3.81E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_756-760.wav
-1.22E+00,8.31E+00,3.89E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_76-81.wav
-7.80E-02,7.58E+00,1.42E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_760-765.wav
-2.17E-01,8.46E+00,1.46E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_765-769.wav
-6.90E-01,7.08E+00,1.39E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_769-774.wav
-6.03E-01,8.26E+00,1.63E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_774-778.wav
-1.27E+00,7.10E+00,1.48E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_778-783.wav
-1.01E+00,8.71E+00,1.60E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_783-787.wav
-4.83E-01,7.32E+00,3.09E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_787-792.wav
-1.00E+00,7.52E+00,9.42E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_792-796.wav
-7.14E-01,8.48E+00,1.63E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_796-801.wav
-1.15E-02,7.50E+00,1.34E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_801-805.wav
-9.71E-01,8.75E+00,1.66E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_805-810.wav
-1.18E+00,8.27E+00,3.34E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_81-85.wav
-6.51E-01,8.76E+00,2.15E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_810-814.wav
-5.87E-01,8.29E+00,1.75E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_814-819.wav
-9.28E-01,8.75E+00,1.67E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_819-823.wav
-5.99E-01,8.72E+00,2.22E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_823-828.wav
-8.86E-01,8.61E+00,1.66E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_828-832.wav
-6.91E-01,8.28E+00,1.79E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_832-837.wav
-7.98E-01,9.17E+00,2.28E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_837-841.wav
-4.45E-01,9.08E+00,2.66E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_841-846.wav
-8.28E-01,9.17E+00,2.25E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_846-850.wav
-1.14E+00,1.01E+01,1.81E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_85-90.wav
-1.05E+00,8.93E+00,1.83E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_850-855.wav
-1.04E+00,9.01E+00,1.90E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_855-859.wav
-4.20E-01,9.11E+00,2.71E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_859-864.wav
-4.54E-01,9.13E+00,2.68E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_864-868.wav
-8.39E-01,9.33E+00,2.25E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_868-873.wav
-1.07E+00,9.53E+00,1.96E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_873-877.wav
-7.10E-01,8.42E+00,1.71E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_877-882.wav
-8.62E-01,9.37E+00,2.24E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_882-886.wav
-7.13E-01,8.26E+00,1.73E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_886-891.wav
-4.56E-01,9.09E+00,2.65E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_891-895.wav
-1.13E+00,6.83E+00,2.05E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_895-900.wav
-1.04E+00,1.11E+01,2.39E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_9-13.wav
-5.90E-01,1.08E+01,2.46E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_90-94.wav
-2.20E-01,7.07E+00,-1.82E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_900-904.wav
-7.56E-02,7.46E+00,1.44E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_904-909.wav
-4.12E-01,8.27E+00,1.57E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_909-913.wav
-1.06E+00,9.51E+00,1.95E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_913-918.wav
-9.85E-01,8.69E+00,1.58E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_918-922.wav
-4.28E-01,7.14E+00,-3.31E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_922-927.wav
9.42E+00,7.66E+00,1.25E+00,2,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_927-931.wav
-5.83E-01,7.94E+00,5.68E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_931-936.wav
-2.52E-01,8.45E+00,1.50E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_936-940.wav
-1.03E+00,1.14E+01,2.31E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_94-99.wav
-1.52E+00,7.63E+00,2.25E-03,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_940-945.wav
-3.98E-01,8.28E+00,1.58E+00,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_945-949.wav
1.05E+00,7.21E+00,3.20E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_949-954.wav
1.34E+00,7.18E+00,3.86E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_954-958.wav
1.35E+00,7.18E+00,3.92E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_958-963.wav
8.71E-01,7.21E+00,2.64E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_963-967.wav
-1.76E+00,6.73E+00,-9.88E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_967-972.wav
-1.75E+00,6.04E+00,-7.88E-02,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_972-976.wav
-1.42E+00,8.07E+00,4.03E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_976-981.wav
-1.47E+00,8.27E+00,5.33E-01,0,D:\PhD-data\Tarcutta-DryA-20210427\20210427T060000+1000_REC_981-985.wav
