0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,file,class
0.200750208,0.502675068,0.531880601,0.523130364,0.600001258,0.522406014,0.53836402,0.565739499,0.671650165,0.680292146,0.253406151,0.669802667,0.513464793,0.423825532,0.217523082,0.160083327,0.227489606,0.16421192,0.168716518,0.316880938,0.279161872,0.205072607,0.222647537,0.211447405,0.242011903,0.227859491,0.213486157,0.231022669,0.236232586,0.236285555,0.251575586,0.239941396,0.22091878,0.242715488,0.24201207,0.231588469,0.22725246,0.221988187,0.230893724,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA0_6.wav,biophony
0.168991474,0.548093243,0.647514984,0.453149932,0.657946509,0.508890966,0.521357418,0.506470233,0.634605324,0.665956561,0.235494646,0.555550498,0.497188429,0.386656631,0.18099235,0.207421312,0.225170722,0.223558016,0.244942579,0.216790184,0.1917384,0.247808429,0.27432308,0.18476521,0.188313285,0.204765442,0.20863333,0.234435345,0.202231676,0.220832291,0.211350442,0.201033638,0.213250994,0.217728204,0.217391961,0.211757348,0.212183033,0.212571024,0.220300563,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA0_7.wav,biophony
0.101406567,0.413022139,0.681136289,0.492085082,0.578605443,0.488256816,0.537737171,0.468857924,0.571252023,0.727190757,0.334371139,0.627059245,0.45529466,0.367657223,0.141650352,0.432706678,0.341478234,0.280029337,0.376239657,0.389114066,0.305982423,0.269022323,0.383716281,0.33615751,0.369392716,0.283123933,0.362736772,0.32941224,0.3000779,0.31819885,0.328675956,0.32521441,0.319012059,0.339790682,0.32270579,0.313382832,0.33060718,0.341593874,0.344607978,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA0_8.wav,biophony
0.186060503,0.496769678,0.537698714,0.465303998,0.708235646,0.638919151,0.523590433,0.572225041,0.500671298,0.623896771,0.463301173,0.608954618,0.450322638,0.371761898,0.230545743,0.159597084,0.191882685,0.176451972,0.187111566,0.243974709,0.24194362,0.31812925,0.28057443,0.200813359,0.240690734,0.224965624,0.190086556,0.219509896,0.227325503,0.232905219,0.225737072,0.240694558,0.227422536,0.233129336,0.2225641,0.2209479,0.230392375,0.22874169,0.222688942,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA0_9.wav,biophony
0.168960321,0.399440367,0.84280779,0.404244141,0.564205221,0.685210917,0.311811518,0.687945449,0.253391493,0.662158122,0.455457316,0.310245507,0.682181903,0.389192403,0.363609998,0.305673744,0.227719471,0.209546618,0.232566894,0.31807961,0.306556466,0.349610444,0.380016056,0.305844134,0.321164919,0.327973477,0.302434477,0.325805435,0.310079866,0.313152949,0.31664966,0.311750232,0.311859863,0.320906305,0.315694875,0.311244446,0.317641087,0.328767066,0.326086628,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA100_1.wav,biophony
0.074383118,0.348115576,0.833600856,0.353165734,0.680847637,0.479153064,0.509764844,0.586131267,0.430423598,0.585701449,0.569969148,0.354390128,0.687121154,0.38829085,0.300713226,0.396202876,0.320648801,0.298649864,0.324133281,0.363167911,0.373367586,0.386007476,0.328057352,0.308810868,0.376686873,0.381301151,0.328000832,0.344271531,0.326215433,0.337110952,0.339781559,0.335337295,0.326358227,0.336269584,0.332624935,0.330896962,0.335649107,0.330656776,0.339118318,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA100_10.wav,biophony
0.060529682,0.3593305,0.562064896,0.223757994,0.787293612,0.473714259,0.523643031,0.486598554,0.478160458,0.470593567,0.439148473,0.444372216,0.656208664,0.605798871,0.591195723,0.55417081,0.54158847,0.630792653,0.629184829,0.600207478,0.611977771,0.683113067,0.657263999,0.624173159,0.676855833,0.637059201,0.631550163,0.685614145,0.650980934,0.671354704,0.674427546,0.654451821,0.664151441,0.666344469,0.667667339,0.658550471,0.671428031,0.670825472,0.663782768,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA100_11.wav,biophony
0.153321417,0.358814175,0.592872492,0.464056204,0.742351005,0.522449702,0.3503089,0.843625988,0.279772472,0.419405453,0.820862805,0.443144056,0.526247136,0.403726417,0.357710681,0.474312931,0.387302081,0.356647059,0.37523346,0.438803103,0.409240819,0.346046278,0.360584471,0.426057245,0.460220167,0.41374144,0.396576233,0.420561371,0.397319764,0.396912169,0.404887143,0.403598284,0.396790626,0.408021032,0.411038506,0.40835433,0.405815503,0.404138168,0.403607099,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA100_12.wav,biophony
0.106681192,0.360300799,0.84045107,0.354386784,0.626677758,0.539228995,0.398227758,0.631207588,0.361945258,0.657863138,0.549070708,0.316133968,0.747420441,0.396990827,0.315836305,0.412825745,0.324370727,0.268541989,0.296156209,0.382268851,0.381414242,0.364587735,0.334406985,0.326137785,0.358353083,0.349702083,0.329826044,0.352103732,0.325866889,0.337690373,0.34479075,0.338940316,0.340235842,0.342347524,0.346276615,0.336852721,0.346943398,0.341745499,0.34092276,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA100_13.wav,biophony
0.089723145,0.38313188,0.613114038,0.236548535,0.643491071,0.607867223,0.62273919,0.450579433,0.326805766,0.676058019,0.515992238,0.292268771,0.75871114,0.52954162,0.485661205,0.499231663,0.449092587,0.497785772,0.536078039,0.518690061,0.494751632,0.537727651,0.560351947,0.520614513,0.530854028,0.523652342,0.519400255,0.562863763,0.52789751,0.542975642,0.547574731,0.534005034,0.543003158,0.541706524,0.544507422,0.536780426,0.548530071,0.551532691,0.546659556,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA100_14.wav,biophony
