0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,sound_path,old_class,class
0.618009065,0.956319155,0.670334939,0.463091686,0.482281075,0.551349394,0.316364477,0.655362958,0.373993551,0.286037401,0.496520753,0.46494541,0.528128719,0.474274512,0.42176688,0.288191908,0.190404322,0.194945966,0.258295325,0.179385748,0.215344163,0.20357265,0.210138539,0.200655764,0.170646114,0.203566374,0.187064372,0.171157322,0.205076798,0.195892178,0.2101239,0.212499349,0.212897249,0.206786441,0.200113382,0.21177302,0.199734221,0.188981721,0.193574695,D:\PhD-data\new-samples-t0\Duval_DryA_20221114T080000+1000_REC_4386.917_4391.417.mp3,BACKGROUNDSILENCE,Other
0.463827426,0.883146854,0.711873725,0.416718443,0.553664712,0.438195244,0.439570661,0.682457617,0.412453258,0.304524729,0.507681157,0.476451287,0.564043586,0.373870911,0.405708209,0.314687185,0.206064744,0.204829542,0.168427413,0.187510267,0.202778369,0.212130934,0.221706986,0.227140106,0.202040812,0.218309358,0.211690836,0.173066809,0.195736806,0.196160667,0.196330073,0.196980515,0.194454708,0.189000729,0.193217546,0.210412596,0.199210543,0.194442686,0.195468807,D:\PhD-data\new-samples-t0\Duval_DryA_20221114T120000+1000_REC_6697.543_6702.043.mp3,MISCELLANEOUSUNCERTAIN,Other
0.233976967,0.675317123,0.728158364,0.541071169,0.661870445,0.607517431,0.43889435,0.681483661,0.36289848,0.38933876,0.548446448,0.538350702,0.544370318,0.322028849,0.290009963,0.2634466,0.184204559,0.192739631,0.196554716,0.184283397,0.168862853,0.162428945,0.182427474,0.186487101,0.168213008,0.188742001,0.191525346,0.163793409,0.160205684,0.151137826,0.156229813,0.162238061,0.174086872,0.161032303,0.165129722,0.172410105,0.162711824,0.149187464,0.16437083,D:\PhD-data\new-samples-t0\Duval_DryA_20221115T020000+1000_REC_5923.414_5927.914.mp3,BACKGROUNDSILENCE,Other
0.110403934,0.570638586,0.715927284,0.318352429,0.830750992,0.568150592,0.608563137,0.693098764,0.506899972,0.405194225,0.59867943,0.54921701,0.593666643,0.147888398,0.225237678,0.309656168,0.144480136,0.230709725,0.155909434,0.174974017,0.146521097,0.165904278,0.173944517,0.183840012,0.166449584,0.195785046,0.235182359,0.163027278,0.157626553,0.158151176,0.1443493,0.148717097,0.149731934,0.148213852,0.146383344,0.158007942,0.145013598,0.146130607,0.157680665,D:\PhD-data\new-samples-t0\Duval_DryA_20221115T060000+1000_REC_1979.546_1984.046.mp3,BACKGROUNDSILENCE,Other
0.148587691,0.5946825,0.849680641,0.421113392,0.661207878,0.408378784,0.510185784,0.654204141,0.446312303,0.307128519,0.552995358,0.501298725,0.533798721,0.277763152,0.422538685,0.52288687,0.312554554,0.366437225,0.313788304,0.380408025,0.3195789,0.348689073,0.32943397,0.363188595,0.345305349,0.364972207,0.437172842,0.340262251,0.327237804,0.341872766,0.325753065,0.339656805,0.333748227,0.339453147,0.332683648,0.34455484,0.336660498,0.331067027,0.34251884,D:\PhD-data\new-samples-t0\Duval_DryA_20221115T080000+1000_REC_3074.614_3079.114.mp3,BIRDS,Biophony
0.086495695,0.52290368,0.835554486,0.360170313,0.713890822,0.437154089,0.522127157,0.641098776,0.465783193,0.337492142,0.549379974,0.531118851,0.545833861,0.258612704,0.452209915,0.613838296,0.370943255,0.465142472,0.368599672,0.415370652,0.361555783,0.411774884,0.385646155,0.403019479,0.39483132,0.418318282,0.492447653,0.386799834,0.370208479,0.392063376,0.366510322,0.380680811,0.374710806,0.380130261,0.373744838,0.382144085,0.37667182,0.370686581,0.38190313,D:\PhD-data\new-samples-t0\Duval_DryA_20221115T120000+1000_REC_5651.345_5655.845.mp3,BIRDS,Biophony
0.120125651,0.558025389,0.870333287,0.378218889,0.722287531,0.429357153,0.553330759,0.662686676,0.475293469,0.359311612,0.562174331,0.517600909,0.544433134,0.195638061,0.338267446,0.479511221,0.253633269,0.314707971,0.239308812,0.283294955,0.247730203,0.28676674,0.276725041,0.29446688,0.267546292,0.289863637,0.374648798,0.280010922,0.267389731,0.279625434,0.263618182,0.276626195,0.269033662,0.272939239,0.269795582,0.281281157,0.274336295,0.26746568,0.276179621,D:\PhD-data\new-samples-t0\Duval_DryA_20221116T000000+1000_REC_7142.242_7146.742.mp3,BIRDS,Biophony
0.080012446,0.49144584,0.861187403,0.377588303,0.790164188,0.468703913,0.558852216,0.659436293,0.471160934,0.383496412,0.58254841,0.552648884,0.570583577,0.143145137,0.266129517,0.436478743,0.234279833,0.335336977,0.244106168,0.273308096,0.226888294,0.260546136,0.258914829,0.277872465,0.264392928,0.288522014,0.349994514,0.256979382,0.240317322,0.25120975,0.237987882,0.251298362,0.245669984,0.247574134,0.244583322,0.254808432,0.245648619,0.24084038,0.251869618,D:\PhD-data\new-samples-t0\Duval_DryA_20221116T020000+1000_REC_5601.057_5605.557.mp3,BACKGROUNDSILENCE,Other
0.104344193,0.563105302,0.816140361,0.282766144,0.762768057,0.509186944,0.60154458,0.651082054,0.429294794,0.342105075,0.57689779,0.558751512,0.584237655,0.18656301,0.329232976,0.449144538,0.238326111,0.345382055,0.255834824,0.293874452,0.242587567,0.27189643,0.265674135,0.287542709,0.287348302,0.321612938,0.37418075,0.278931869,0.267171642,0.283015362,0.264741249,0.274382248,0.268477664,0.272032902,0.269580553,0.281439357,0.270787353,0.264319757,0.276283743,D:\PhD-data\new-samples-t0\Duval_DryA_20221116T040000+1000_REC_5340.75_5345.25.mp3,BACKGROUNDSILENCE,Other
0.280799373,0.745946053,0.80354076,0.401004981,0.639618615,0.450958356,0.569260625,0.671362774,0.452199747,0.336961203,0.578175738,0.532891282,0.581991555,0.197899478,0.238758845,0.258727099,0.112776964,0.1209778,0.090066952,0.135527482,0.128097439,0.122920763,0.131262716,0.142231274,0.09274412,0.143555874,0.15114692,0.097318488,0.105781944,0.102664667,0.104156741,0.111467513,0.111230317,0.105072172,0.104199541,0.116140379,0.101702559,0.096867681,0.107139952,D:\PhD-data\new-samples-t0\Duval_DryA_20221116T140000+1000_REC_5522.746_5527.246.mp3,BIRDS,Biophony
0.132610574,0.568243024,0.885056059,0.366550881,0.756111887,0.459817933,0.581125555,0.678984941,0.483628864,0.369858873,0.56605518,0.536712686,0.566212749,0.125287507,0.229451684,0.360078574,0.150545137,0.228603373,0.165300331,0.185301369,0.155381099,0.181919387,0.180841039,0.203564745,0.187794959,0.206290534,0.262162858,0.178555599,0.167558858,0.174275273,0.163891815,0.173468092,0.165165165,0.163935706,0.165914884,0.177619478,0.170790611,0.166091253,0.175156944,D:\PhD-data\new-samples-t0\Duval_DryA_20221116T170921+1000_REC_2538.694_2543.194.mp3,BACKGROUNDSILENCE,Other
0.107065112,0.529370554,0.879735897,0.371489414,0.780357253,0.474858727,0.582311731,0.677574727,0.479943531,0.374989177,0.570289366,0.5468313,0.573256005,0.124175527,0.234922573,0.377976289,0.163844575,0.240570834,0.164955882,0.186069813,0.159908472,0.18922276,0.191911287,0.209112118,0.197917307,0.226271008,0.283456419,0.197213258,0.180418513,0.185776586,0.176267621,0.187572864,0.181808544,0.181098953,0.18082478,0.192602773,0.18477065,0.180644652,0.191775319,D:\PhD-data\new-samples-t0\Duval_DryA_20221116T220000+1000_REC_6245.692_6250.192.mp3,BACKGROUNDSILENCE,Other
0.342737998,0.759523212,0.795947773,0.528555458,0.518088484,0.463219296,0.401066342,0.702163394,0.384686389,0.339732142,0.51813005,0.468022407,0.522760342,0.376418911,0.400320706,0.423037637,0.27331648,0.244290503,0.228340828,0.212772425,0.223347017,0.234097086,0.248231596,0.250618617,0.230511052,0.263587334,0.272585225,0.232285124,0.239334315,0.238641227,0.242966388,0.242181928,0.238449811,0.233987121,0.243273801,0.252970375,0.241381097,0.236132101,0.244722287,D:\PhD-data\new-samples-t0\Duval_DryA_20221117T000000+1000_REC_1897.97_1902.47.mp3,BACKGROUNDSILENCE,Other
0.158784038,0.629961773,0.777604925,0.330635677,0.736757058,0.524581873,0.476465251,0.57996729,0.472349508,0.481756313,0.618727149,0.429129552,0.478019432,0.269059866,0.40786924,0.504500538,0.319481472,0.383985278,0.313070907,0.35799015,0.284796758,0.323455454,0.305576149,0.333404356,0.309205019,0.342601631,0.40647676,0.312725703,0.30690331,0.330838442,0.313739919,0.322168399,0.315037959,0.317450297,0.311200988,0.316924589,0.309415459,0.307276217,0.32155052,D:\PhD-data\new-samples-t0\Duval_DryA_20221117T080000+1000_REC_1872.748_1877.248.mp3,MISCELLANEOUSUNCERTAIN,Other
0.099430002,0.51548363,0.762732972,0.454739315,0.781104149,0.624819034,0.576002028,0.70652372,0.472248474,0.462275268,0.597383821,0.539923568,0.543073965,0.172069783,0.147840808,0.233064809,0.137502639,0.189395781,0.155347298,0.133250748,0.118719797,0.132010651,0.150320367,0.154921488,0.132821631,0.153944562,0.189496156,0.131808491,0.118756176,0.11564566,0.115066372,0.116232845,0.112942174,0.109691921,0.114501113,0.122704111,0.11562103,0.11093682,0.124153074,D:\PhD-data\new-samples-t0\Duval_DryA_20221117T182800+1000_REC_4445.333_4449.833.mp3,BIRDS,Biophony
0.145422437,0.569791036,0.725062247,0.527896812,0.750438,0.653093761,0.51073061,0.712451668,0.427989481,0.413741116,0.574324412,0.515083454,0.533772435,0.24515379,0.183984277,0.249095227,0.162793122,0.187231674,0.182180492,0.139837368,0.162555737,0.154601798,0.167189411,0.169133265,0.125783228,0.144001829,0.184338334,0.137530881,0.137315107,0.12139116,0.123153646,0.129013676,0.133115227,0.132877857,0.128235168,0.138850572,0.130968556,0.127564577,0.132521714,D:\PhD-data\new-samples-t0\Duval_DryA_20221117T201600+1000_REC_590.009_594.509.mp3,BIRDS,Biophony
0.101040084,0.494444654,0.630424813,0.514415262,0.639593339,0.610267511,0.492616672,0.73355931,0.390845688,0.440860413,0.564083573,0.568568648,0.570200959,0.434774857,0.358155646,0.432894752,0.372333711,0.344944129,0.349895836,0.375869776,0.358411379,0.339863981,0.351133623,0.347009802,0.371397484,0.374917718,0.400291068,0.356300262,0.351429215,0.346323102,0.336057457,0.3445461,0.349307331,0.34672419,0.344373764,0.34007937,0.339293541,0.337569028,0.351993929,D:\PhD-data\new-samples-t0\Duval_DryA_20221118T020000+1000_REC_6543.491_6547.991.mp3,BACKGROUNDSILENCE,Other
0.1673804,0.614383743,0.712031834,0.462929158,0.668913633,0.574149889,0.517943431,0.785507795,0.427741821,0.42823071,0.592580764,0.561223848,0.557082101,0.260173257,0.197563448,0.235060585,0.13384017,0.161738955,0.175941507,0.11143538,0.123426202,0.125938702,0.140693478,0.159860502,0.173269676,0.197411915,0.167565716,0.133053652,0.140656352,0.13224267,0.135180529,0.138165852,0.136959164,0.122331259,0.13083074,0.135461483,0.133788504,0.143137857,0.148549936,D:\PhD-data\new-samples-t0\Duval_DryA_20221118T060000+1000_REC_5776.587_5781.087.mp3,MISCELLANEOUSUNCERTAIN,Other
0.054237874,0.43760338,0.759913328,0.364402675,0.873645754,0.579299853,0.630852849,0.713270441,0.559837455,0.36873916,0.498145481,0.507480262,0.583402637,0.142817872,0.240401137,0.364140691,0.214536766,0.390079784,0.264196847,0.234115549,0.209855935,0.283225642,0.260739136,0.227915375,0.22285753,0.292712333,0.343322996,0.255758142,0.231878954,0.236320648,0.228718684,0.233164748,0.224650828,0.233117715,0.233122824,0.243284467,0.231148392,0.228999469,0.242709648,D:\PhD-data\new-samples-t0\Duval_DryA_20221118T100000+1000_REC_2030.607_2035.107.mp3,BIRDS,Biophony
0.327669117,0.781067328,0.611516079,0.341992623,0.581126217,0.597212005,0.434311948,0.723416814,0.414465147,0.40411598,0.508725009,0.512560181,0.575711307,0.430877083,0.424241393,0.332575787,0.237802753,0.312847225,0.303608939,0.228029056,0.256738557,0.272836048,0.258190686,0.27536662,0.268936014,0.305727773,0.273067587,0.2460606,0.272773118,0.268710738,0.253485062,0.25798633,0.264775793,0.260593891,0.263820122,0.266851962,0.263558657,0.253012164,0.25900697,D:\PhD-data\new-samples-t0\Duval_DryA_20221118T140000+1000_REC_2725.935_2730.435.mp3,BIRDS,Biophony
