0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,path,class
0.492574744,0.729050559,0.553021174,0.4117029,0.553475287,0.32798515,0.878239313,0.519471225,0.507557751,0.300234954,0.477776847,0.153558988,0.208129804,0.330949073,0.422691757,0.332649497,0.335753274,0.340463994,0.381836098,0.387944462,0.397282225,0.420631822,0.384600109,0.362736015,0.368161319,0.372704791,0.370679512,0.374979335,0.36114846,0.355860249,0.36559635,0.367907615,0.360066384,0.353905687,0.352556025,0.356996306,0.365519708,0.369212394,0.363602365,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB0_7.wav,anthrophony
0.545991236,0.773842225,0.499566347,0.279609793,0.627259894,0.349020439,0.745733535,0.4740829,0.62755381,0.460548688,0.430485421,0.109535478,0.244594795,0.209748741,0.351790963,0.391203636,0.353690842,0.433654052,0.420544051,0.417578006,0.449377916,0.451312679,0.434401363,0.42528828,0.423129066,0.419742304,0.416374035,0.423666036,0.408891582,0.394635966,0.398237886,0.404175467,0.404561539,0.403305907,0.400947888,0.40261548,0.410144618,0.411471708,0.403142238,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB0_8.wav,anthrophony
0.461722688,0.715357217,0.58485857,0.430647989,0.576529408,0.314823776,0.790413097,0.456290811,0.531274027,0.314253026,0.457299953,0.159033647,0.188640376,0.28372836,0.360911623,0.376825108,0.424366445,0.373534899,0.387031452,0.412015023,0.393891684,0.402719996,0.38808691,0.406698679,0.395388699,0.397305682,0.404944628,0.403103356,0.389811657,0.38385918,0.381421155,0.390352263,0.391337899,0.384936457,0.379061246,0.386042769,0.396887579,0.391657298,0.387520204,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB0_9.wav,anthrophony
0.200083049,0.475787209,0.500445743,0.394907886,0.625822437,0.305380663,0.686848665,0.478838395,0.473938751,0.471029878,0.710560817,0.494034313,0.388845478,0.330012233,0.508308831,0.456070429,0.530375998,0.505360457,0.421480195,0.463400113,0.483024279,0.520234226,0.488688017,0.514415206,0.498925472,0.549370672,0.471582533,0.501305532,0.486579295,0.486774716,0.493129397,0.475364687,0.486411147,0.491793389,0.492479665,0.491775796,0.492365296,0.492861936,0.498298237,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_1.wav,anthrophony
0.130742416,0.397365509,0.611083313,0.356743491,0.656502112,0.122917837,0.416996048,0.497035552,0.617984809,0.326535078,0.575303689,0.500356458,0.484105907,0.450183839,0.65528042,0.658326879,0.66531526,0.59103905,0.601441236,0.649558885,0.663288485,0.688161723,0.655144698,0.677448349,0.64197336,0.642419346,0.636715028,0.639500523,0.629582116,0.622075506,0.622067471,0.63319714,0.632500621,0.628850013,0.621043811,0.623296342,0.641084545,0.642942222,0.626318761,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_10.wav,anthrophony
0.354076515,0.572335689,0.373647273,0.430724883,0.736205827,0.22585952,0.40537252,0.58090469,0.639732564,0.348419186,0.635919163,0.580213817,0.546499049,0.325959238,0.449381029,0.447232946,0.473727072,0.506763139,0.466735094,0.366966667,0.443563389,0.515212017,0.428902789,0.454209291,0.48457932,0.443551368,0.460067387,0.461905111,0.455353806,0.448603006,0.449703488,0.459919378,0.453910245,0.446306723,0.44444324,0.446088932,0.458101011,0.464857834,0.456709611,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_11.wav,anthrophony
0.313329582,0.572711027,0.450537701,0.371091412,0.734153421,0.225473175,0.398627896,0.525557776,0.707618936,0.2747914,0.5677416,0.62974247,0.554507928,0.516124008,0.453697506,0.377868349,0.602050711,0.383512707,0.393134522,0.469755361,0.511897665,0.426380993,0.42507592,0.47776043,0.429198247,0.418249168,0.445013841,0.46096419,0.438930098,0.442470024,0.469051662,0.452786365,0.454061938,0.454347106,0.44882052,0.45276081,0.455520258,0.459237558,0.459966595,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_12.wav,anthrophony
0.632931565,0.810101697,0.3854915,0.372936446,0.675726956,0.387447521,0.32763624,0.507571724,0.607562042,0.432887167,0.474591344,0.680997139,0.510482083,0.285495569,0.31683597,0.234901788,0.309260188,0.363103511,0.334939487,0.256618896,0.326959411,0.353662643,0.298066034,0.284206751,0.274030101,0.289689593,0.293317253,0.293945878,0.286208102,0.289423561,0.290348447,0.28527656,0.290599738,0.287060645,0.283725613,0.282077656,0.279221102,0.280940233,0.282304911,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_13.wav,anthrophony
0.442773443,0.619679911,0.320007406,0.477412291,0.717016638,0.13230965,0.555699583,0.566323074,0.472587034,0.357118454,0.692019217,0.515222681,0.445758706,0.351540717,0.557010355,0.393312731,0.508478232,0.52012489,0.415240302,0.50814243,0.507216045,0.461240705,0.418090912,0.55545378,0.534384652,0.491048688,0.495673225,0.495436715,0.481981175,0.47228563,0.474413252,0.475169785,0.480228015,0.482479264,0.474894371,0.471172675,0.478754553,0.488227198,0.481005134,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_2.wav,anthrophony
0.358852755,0.598820742,0.495480215,0.467551969,0.731136833,0,0.550519534,0.60442958,0.440828246,0.306940139,0.622124128,0.391192794,0.454729136,0.443180277,0.601153372,0.501945221,0.549992825,0.487575286,0.462880292,0.473862872,0.461860966,0.461506367,0.432368966,0.43781607,0.460106941,0.466611684,0.44812621,0.426242254,0.422240465,0.464773571,0.458645403,0.431637269,0.439514874,0.447600541,0.435859981,0.434554587,0.447440863,0.448768369,0.438092274,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_3.wav,anthrophony
0.377359436,0.637210022,0.48575932,0.498085778,0.555209861,0.270757527,0.712242413,0.304601358,0.647758868,0.466784975,0.454320417,0.431431122,0.472256795,0.243615184,0.210105329,0.35135019,0.545023131,0.420468446,0.442978906,0.490904934,0.433479125,0.452251433,0.436712705,0.443221212,0.426802561,0.458583822,0.439135341,0.448868364,0.423277047,0.41811656,0.436075106,0.417546288,0.412872266,0.426590426,0.415872542,0.422536921,0.439110357,0.425289349,0.418954284,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_4.wav,anthrophony
0.276470117,0.473120267,0.371884538,0.462528038,0.788778221,0.133678784,0.553299967,0.50732296,0.605303683,0.406486691,0.548853225,0.603186231,0.599245588,0.394263335,0.490002814,0.442380984,0.563068046,0.531482374,0.421894556,0.464109304,0.574388821,0.512571357,0.485208187,0.590569096,0.524023252,0.486140695,0.496326364,0.508665772,0.508407691,0.486543737,0.484142813,0.504568539,0.504369251,0.492694461,0.483769428,0.488486617,0.501866209,0.502705248,0.497967718,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_5.wav,anthrophony
0.367039295,0.634074597,0.459568357,0.428725267,0.663317324,0.28033017,0.527954965,0.543053886,0.598669169,0.36238761,0.596439828,0.62363422,0.481773848,0.341909855,0.425908275,0.26856767,0.38806175,0.333625731,0.293855652,0.347819722,0.351821676,0.374520733,0.372011966,0.371581722,0.336991591,0.362569225,0.367010956,0.367610181,0.354681557,0.353584617,0.34532162,0.344838604,0.347519663,0.337019534,0.337967736,0.338271509,0.342049134,0.340887989,0.328939008,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_6.wav,anthrophony
0.126155586,0.37628097,0.584374106,0.401741225,0.745944161,0.239682887,0.550324426,0.586007172,0.632882753,0.353100108,0.621887113,0.491279256,0.470272805,0.361363615,0.471577632,0.430573342,0.4731642,0.444702306,0.434250045,0.45643448,0.506108097,0.508007968,0.452635733,0.484428181,0.491221274,0.477325598,0.458385134,0.464398857,0.45626309,0.443949717,0.445239218,0.454614651,0.453005514,0.450440632,0.443208894,0.437767691,0.449985247,0.458368606,0.451406644,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_7.wav,anthrophony
0.428982902,0.713140523,0.632059738,0.325086357,0.55904333,0.262312253,0.615911049,0.496309911,0.647670149,0.383498775,0.517465995,0.491295282,0.560533622,0.178237832,0.185092578,0.258414427,0.365498957,0.334112286,0.256354974,0.256998995,0.327690611,0.312305364,0.245261033,0.243378654,0.315046077,0.304716408,0.291026589,0.294911422,0.279216718,0.268769361,0.270314799,0.278702269,0.283986516,0.273055285,0.275152587,0.282407786,0.27946849,0.270898898,0.269322969,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_8.wav,anthrophony
0.252985947,0.487522248,0.436980045,0.381327673,0.79511949,0.145786718,0.459393604,0.563068545,0.573444235,0.308956566,0.642871034,0.563109946,0.518554013,0.323806046,0.532134017,0.560047047,0.517855831,0.573963714,0.529615654,0.472829732,0.572559548,0.614598494,0.486797454,0.512524258,0.601934822,0.560031389,0.537132224,0.532735617,0.518347532,0.511686224,0.524525761,0.539649936,0.512166698,0.513756202,0.526265799,0.511131537,0.522516212,0.537957378,0.519875964,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_9.wav,anthrophony
0.150695173,0.432866321,0.608630138,0.391547434,0.530871747,0.289128412,0.595109887,0.450437542,0.458137999,0.503789943,0.493911215,0.432415428,0.538810479,0.427553057,0.59661848,0.555155679,0.61891829,0.60835259,0.558858633,0.542909302,0.616837575,0.598563477,0.502109018,0.586544673,0.600939401,0.620771179,0.55580074,0.593822787,0.579008671,0.564324681,0.580734059,0.590556213,0.57700919,0.568105237,0.572215553,0.569734774,0.580306679,0.581869198,0.575207441,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB102_1.wav,anthrophony
0.285642867,0.434876717,0.533261829,0.202552869,0.340134197,0.078485954,0.279410604,0.556132255,0.816422083,0.402961012,0.014275634,0.624583772,0.678292979,0.898898699,0.846876255,1,1,1,0.87518898,0.850959908,0.940654642,0.975159518,0.985766593,0.968019755,0.97196281,1,1,0.980717917,0.99352381,0.995585462,0.976392563,0.985343924,0.990723657,0.972802111,0.978001458,0.97840704,0.995072971,1,0.977426897,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB102_10.wav,anthrophony
0.149301002,0.428767317,0.557989667,0.253430673,0.540763907,0.280519594,0.497255442,0.416892433,0.507107006,0.500051214,0.522560995,0.616265594,0.490886537,0.46686876,0.702555343,0.630232137,0.719115352,0.683529301,0.658503586,0.704186734,0.717638781,0.770932504,0.665829489,0.706405955,0.700781748,0.755253589,0.699932921,0.710874985,0.715225231,0.705086328,0.691971699,0.706922242,0.70516177,0.691774789,0.6912393,0.692000791,0.706222669,0.70790059,0.697782767,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB102_11.wav,anthrophony
