0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,sound_path,class
0.358147659,0.60377239,0.817692713,0.366272503,0.631217623,0.501106329,0.735526496,0.703342912,0.60400852,0.278507986,0.426110226,0.248920667,0.230670639,0.44360044,0.249250496,0.368671538,0.239131078,0.177483859,0.251677019,0.192019891,0.234270346,0.23113443,0.237929896,0.24932662,0.235958739,0.218158822,0.198446485,0.221859057,0.208204757,0.216689006,0.221350477,0.216835781,0.226350344,0.221449917,0.212245987,0.213478236,0.206382265,0.21471268,0.218969358,D:\PhD-data\denoising\post\Tarcutta\anthrophony\audio_segment_DryB0_7.wav,anthrophony
0.515708559,0.727965304,0.808888342,0.330244551,0.653863567,0.544912162,0.71124605,0.643256788,0.565185949,0.318179314,0.491272218,0.198310511,0.095093512,0.337199163,0.146469549,0.280045989,0.169515079,0.126418656,0.230057605,0.161123341,0.182992638,0.193646485,0.188919304,0.154309145,0.153606434,0.170330301,0.158468795,0.178848511,0.157758456,0.161246039,0.167096813,0.165507181,0.185679388,0.179573651,0.157195603,0.161402705,0.165565113,0.167984975,0.169322399,D:\PhD-data\denoising\post\Tarcutta\anthrophony\audio_segment_DryB0_8.wav,anthrophony
0.413180298,0.64204113,0.821627014,0.389180874,0.68223591,0.558213029,0.733174823,0.657957723,0.549703954,0.239027892,0.435732027,0.234915327,0.14315496,0.367916913,0.191759152,0.322729236,0.198031949,0.162302109,0.224962272,0.135570866,0.178272749,0.189584454,0.21082392,0.196106097,0.17438152,0.198731498,0.171968903,0.191442239,0.174706393,0.178446267,0.179493246,0.181709849,0.197359997,0.188476456,0.178148146,0.186451174,0.187348842,0.190358911,0.186205613,D:\PhD-data\denoising\post\Tarcutta\anthrophony\audio_segment_DryB0_9.wav,anthrophony
0.050232737,0.237519363,0.556125063,0.43747834,0.769142673,0.404087983,0.496486444,0.68130145,0.625689163,0.384336361,0.642197515,0.490458102,0.334229695,0.504073367,0.354015765,0.647547669,0.487848462,0.397616143,0.573078592,0.475781204,0.402629269,0.468981232,0.495653444,0.476934689,0.530963742,0.517992494,0.509424652,0.544877786,0.482807913,0.483454134,0.483725419,0.478228146,0.49270495,0.496850406,0.477480805,0.489037489,0.482477829,0.477749195,0.482840908,D:\PhD-data\denoising\post\Tarcutta\anthrophony\audio_segment_DryB100_1.wav,anthrophony
0.092420368,0.343727196,0.633386921,0.415410858,0.662851904,0.205768967,0.296413129,0.652098632,0.615658728,0.255824403,0.610583476,0.617135393,0.37736216,0.506686737,0.334104594,0.584805823,0.55639399,0.626453471,0.710526857,0.637466952,0.51221944,0.508098611,0.627318034,0.63563936,0.624008147,0.583993391,0.572673443,0.599267496,0.57002201,0.58110004,0.550617809,0.555208328,0.567317985,0.585890902,0.570235997,0.560568134,0.560971961,0.559930448,0.555159912,D:\PhD-data\denoising\post\Tarcutta\anthrophony\audio_segment_DryB100_10.wav,anthrophony
0.323047493,0.474047608,0.250231571,0.424734789,0.943869065,0.320053454,0.203465081,0.60805261,0.636165478,0.21014532,0.507488403,0.694270442,0.416457532,0.425286141,0.367874587,0.744187852,0.507863227,0.43047534,0.589112545,0.505135462,0.499970148,0.528300768,0.560152246,0.568949019,0.529248021,0.542495258,0.536472776,0.561153865,0.5079493,0.530331315,0.51848495,0.502041486,0.522751095,0.538522577,0.523855552,0.529363993,0.522534994,0.518343386,0.51853109,D:\PhD-data\denoising\post\Tarcutta\anthrophony\audio_segment_DryB100_11.wav,anthrophony
0.416992123,0.530354767,0.285889525,0.46954338,0.986337578,0.196773924,0.029872206,0.66866929,0.593808098,0.195240093,0.678249215,0.643381606,0.254329686,0.379015134,0.326180683,0.685662543,0.435303254,0.415946084,0.602486922,0.457671622,0.458740899,0.529680136,0.490070729,0.449891044,0.511422462,0.535751652,0.530576676,0.552690492,0.479042079,0.491206934,0.488922527,0.482354978,0.494282766,0.499030276,0.490721037,0.495536584,0.485694363,0.488126492,0.483025648,D:\PhD-data\denoising\post\Tarcutta\anthrophony\audio_segment_DryB100_12.wav,anthrophony
0.181028912,0.177953277,0.302639774,0.507896733,0.914200199,0.242711331,0.395368894,0.880272678,0.580568647,0.194564324,0.688572612,0.676686956,0.503546788,0.524780731,0.432041515,0.772011899,0.517489926,0.433943532,0.66124789,0.510189426,0.447491348,0.584685272,0.568303927,0.509591037,0.589223107,0.540816679,0.55305683,0.592797966,0.534768985,0.534865182,0.531916514,0.525297516,0.54069575,0.548935533,0.525390909,0.537286821,0.538346947,0.53178249,0.531704736,D:\PhD-data\denoising\post\Tarcutta\anthrophony\audio_segment_DryB100_13.wav,anthrophony
0.224122671,0.474018432,0.512102887,0.416753015,0.701724924,0.08874977,0.381993414,0.848800554,0.544137705,0.219664968,0.698219549,0.488640846,0.233022225,0.453903053,0.308584374,0.673818964,0.593567239,0.529929142,0.674047077,0.557179277,0.477389998,0.54498597,0.570002551,0.559383641,0.601640943,0.550522205,0.559460622,0.594768212,0.53132953,0.536465631,0.536132717,0.528897529,0.545253885,0.554733608,0.532091379,0.544792571,0.546821844,0.53799163,0.528947603,D:\PhD-data\denoising\post\Tarcutta\anthrophony\audio_segment_DryB100_2.wav,anthrophony
0.23863945,0.540546999,0.710010596,0.366203463,0.582085841,0.297403675,0.555361092,0.632915151,0.510799352,0.254892921,0.530619254,0.385841185,0.266116175,0.355564389,0.303658477,0.563803343,0.496411593,0.592491682,0.52282833,0.418441458,0.430934422,0.481668886,0.551540332,0.495934706,0.531831704,0.504984156,0.482982723,0.494654161,0.48555141,0.487643613,0.45145406,0.478179067,0.487649958,0.495845994,0.479973372,0.474339171,0.487680896,0.479509139,0.473990165,D:\PhD-data\denoising\post\Tarcutta\anthrophony\audio_segment_DryB100_3.wav,anthrophony
