0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,class
0.626714214,0.82768447,0.93031283,0.501802528,0.542248663,0.468978989,0.318348231,0.379218961,0.426657653,0.446273741,0.44129606,0.449692986,0.467370591,0.112104104,0.11820533,0.173819123,0.133526692,0.066925456,0.090730703,0.105584883,0.107535055,0.108750975,0.075482387,0.067648893,0.05300424,0.060741185,0.074667852,0.078942984,0.072625067,0.070682666,0.079686235,0.085407326,0.084760637,0.075186882,0.072029,0.073789548,0.07914649,0.084986175,0.092544648,anthrophony
0.461086993,0.744749711,0.883125015,0.514839802,0.533230599,0.482730186,0.35383016,0.435641206,0.525934962,0.468374489,0.42070303,0.436366192,0.519387947,0.229879068,0.199937722,0.158960728,0.160717016,0.110766528,0.154942948,0.138803628,0.11248263,0.145738899,0.146737972,0.120991987,0.096725399,0.116581388,0.125847675,0.131521535,0.134868695,0.12879748,0.12845151,0.136328279,0.137922098,0.135077256,0.131882245,0.124851303,0.128193308,0.128048737,0.129284432,anthrophony
0.390126048,0.682045562,0.955433334,0.424472549,0.592744821,0.418916101,0.387923805,0.392779117,0.49271685,0.52039908,0.54290695,0.546477735,0.555310246,0.164991967,0.152414335,0.152692659,0.158850445,0.155206495,0.172251227,0.158631464,0.146235944,0.154209158,0.142839248,0.150926789,0.136041664,0.15137188,0.141634222,0.118740072,0.127460543,0.14018783,0.133407949,0.141130265,0.136032276,0.13455386,0.134804281,0.134235145,0.133574533,0.133459386,0.136898531,anthrophony
0.664164055,0.821858535,1,0.4758807,0.561928531,0.409417341,0.350973593,0.338424012,0.422629729,0.434366278,0.506749336,0.481985914,0.49136505,0.116374791,0.09561583,0.093572651,0.062521798,0.039221549,0.071377879,0.062359743,0.056036622,0.061381668,0.037769469,0.042122437,0.035480783,0.040250681,0.050394049,0.034476293,0.034018439,0.041717627,0.041546525,0.050154337,0.044923988,0.036704336,0.034916745,0.036166772,0.037872124,0.044115605,0.047739691,anthrophony
0.359122347,0.657136525,0.954444572,0.442799817,0.623290955,0.419815824,0.392054032,0.391198673,0.49259011,0.51893844,0.549619142,0.575235683,0.564049559,0.189685766,0.196924153,0.166426263,0.150830068,0.1404835,0.158009251,0.146498312,0.13832594,0.147931251,0.133345404,0.137966311,0.120982997,0.128908451,0.134448773,0.109684454,0.1118786,0.124112198,0.118942924,0.126382824,0.119482948,0.116559363,0.116600935,0.116412692,0.116972485,0.119721301,0.124026643,anthrophony
0.513833842,0.746311011,0.986924488,0.425187559,0.587193261,0.409621696,0.397206908,0.39601747,0.491415656,0.509169012,0.532351356,0.545605185,0.515011908,0.13451893,0.117085071,0.103292797,0.076499896,0.047189237,0.070476109,0.076059926,0.080636735,0.087091873,0.063202134,0.058505533,0.048992217,0.067515037,0.065592637,0.041298923,0.047341588,0.062678489,0.057710526,0.064266256,0.05706909,0.05414003,0.05209126,0.052158436,0.053939665,0.056423533,0.059574004,anthrophony
0.441655132,0.756231139,0.858084356,0.42548353,0.655202156,0.449563089,0.360387098,0.380227274,0.509164936,0.509854651,0.535909866,0.511408092,0.541574104,0.210371605,0.203631005,0.135103665,0.138350752,0.150522946,0.140365426,0.095175975,0.094007262,0.131706869,0.123405167,0.116081922,0.103581329,0.132037584,0.108807064,0.107051825,0.122940396,0.115562284,0.110833343,0.120575399,0.115244516,0.113829494,0.118234543,0.11939143,0.119471363,0.123000709,0.122888626,anthrophony
0.390454618,0.680780829,0.932622387,0.481217297,0.505495151,0.490581412,0.390374714,0.480984097,0.416067978,0.540625613,0.496209563,0.524746465,0.516899859,0.203729638,0.182229548,0.139843242,0.14817131,0.118579028,0.142708545,0.154003708,0.151437845,0.144231116,0.13948846,0.156035787,0.114334369,0.139854329,0.11693078,0.132499097,0.129372359,0.137007802,0.12834873,0.124782695,0.128363263,0.126364423,0.13254499,0.129508093,0.139450294,0.126513516,0.136753466,anthrophony
0.430903692,0.723424925,0.901782391,0.48982623,0.53666026,0.469560836,0.263006572,0.366748094,0.471580861,0.516816221,0.470135726,0.549323257,0.511836454,0.220703639,0.285119577,0.169827279,0.164982172,0.18115515,0.194014495,0.188855155,0.200583916,0.219990593,0.184375559,0.193264374,0.155235559,0.172430397,0.168179404,0.170720681,0.164711063,0.17128209,0.173795931,0.177948116,0.172862685,0.169216664,0.177326939,0.175642375,0.176224855,0.178606487,0.184373105,anthrophony
0.316911315,0.650436646,0.908747826,0.429994446,0.572369122,0.485183004,0.414543977,0.38940889,0.462221536,0.534541602,0.572362382,0.552815732,0.547018226,0.179043673,0.204194128,0.190533215,0.193978327,0.19227875,0.188547446,0.163033702,0.15441808,0.179187247,0.183445707,0.191435978,0.153793946,0.161630596,0.172613332,0.162515474,0.163988209,0.16765193,0.161529578,0.165355433,0.168764673,0.16741453,0.169201161,0.167178774,0.163436734,0.166460321,0.1671502,anthrophony
