x,y,z,sound_path,class
8.53E+00,4.87E+00,4.17E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T060000+1000_REC_2008.048_2012.548.wav,unlabelled
4.40E+00,1.07E+01,7.23E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T060000+1000_REC_2588.008_2592.508.wav,unlabelled
8.26E+00,6.57E+00,5.50E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T060000+1000_REC_6042.062_6046.562.wav,unlabelled
6.47E+00,4.31E+00,3.99E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T080000+1000_REC_278.714_283.214.wav,unlabelled
6.34E+00,6.63E+00,3.45E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T080000+1000_REC_4371.501_4376.001.wav,unlabelled
7.13E+00,6.82E+00,5.84E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T080000+1000_REC_5474.965_5479.465.wav,unlabelled
5.68E+00,6.86E+00,4.21E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T080000+1000_REC_6667.864_6672.364.wav,unlabelled
7.50E+00,5.32E+00,9.54E-01,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T100000+1000_REC_1165.13_1169.63.wav,unlabelled
6.88E+00,6.06E+00,6.72E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T100000+1000_REC_2513.616_2518.116.wav,unlabelled
6.49E+00,6.63E+00,2.80E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T100000+1000_REC_5738.028_5742.528.wav,unlabelled
8.73E+00,5.13E+00,3.16E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T100000+1000_REC_826.145_830.645.wav,unlabelled
5.68E+00,6.46E+00,6.76E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T120000+1000_REC_1191.706_1196.206.wav,unlabelled
6.35E+00,6.27E+00,3.60E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T120000+1000_REC_2845.177_2849.677.wav,unlabelled
6.96E+00,6.76E+00,5.85E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T120000+1000_REC_2871.091_2875.591.wav,unlabelled
6.57E+00,8.03E+00,6.61E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T120000+1000_REC_900.086_904.586.wav,unlabelled
5.21E+00,1.02E+01,7.16E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T140000+1000_REC_1765.043_1769.543.wav,unlabelled
6.45E+00,7.10E+00,3.58E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T140000+1000_REC_2901.962_2906.462.wav,unlabelled
6.43E+00,8.81E+00,6.41E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T140000+1000_REC_5551.048_5555.548.wav,unlabelled
7.37E+00,4.12E+00,4.54E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T140000+1000_REC_6775.994_6780.494.wav,unlabelled
4.26E+00,1.08E+01,7.07E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T180000+1000_REC_1159.821_1164.321.wav,unlabelled
