0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,sound_paths
0.223886581,0.559663953,0.841397574,0.434004422,0.511809909,0.504713744,0.300138607,0.611176621,0.621629579,0.529257708,0.519289627,0.757000821,0.314056028,0.195314185,0.112504302,0.122964544,0.122153338,0.11665247,0.085501895,0.080035249,0.091789935,0.092599406,0.094387071,0.110349,0.113206307,0.098614184,0.093870696,0.090989718,0.087616937,0.08602122,0.084465289,0.077757154,0.078753522,0.08974268,0.091997181,0.084413676,0.084255807,0.082358841,0.081355926,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T000000+1000_REC_3293.772_3298.272.wav
0.338786994,0.662291549,0.882066436,0.398928992,0.426889059,0.434830934,0.226813222,0.598103301,0.579040854,0.471794202,0.481753211,0.703671186,0.27364158,0.260826913,0.167284017,0.160315989,0.123504396,0.156341351,0.128348674,0.144395871,0.155640591,0.14377901,0.136869787,0.128081461,0.136946059,0.162841032,0.135265155,0.129305648,0.126898252,0.129078695,0.133341084,0.129172006,0.132666898,0.137945692,0.136417281,0.134414511,0.135467196,0.134241606,0.130749153,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T000000+1000_REC_3443.962_3448.462.wav
0.295522337,0.638934303,0.879808418,0.275205304,0.44607219,0.4177992,0.357520058,0.583086312,0.646494453,0.427251256,0.534299961,0.727080965,0.441453407,0.253488248,0.169295652,0.160542609,0.127768964,0.128904275,0.114025336,0.104702667,0.118773022,0.119448505,0.106662552,0.103559169,0.11018669,0.114737701,0.119844938,0.11489527,0.113152138,0.115412524,0.115194457,0.11587021,0.115274608,0.112280282,0.108897739,0.111572581,0.114155844,0.109164807,0.108242853,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T000000+1000_REC_4665.96_4670.46.wav
0.341306493,0.674215636,0.879517155,0.359852539,0.442192774,0.458263072,0.274714916,0.625029047,0.578912477,0.439278413,0.446879605,0.695357848,0.343691234,0.247527958,0.173599523,0.15799804,0.132104635,0.134909009,0.125044346,0.149969627,0.141047407,0.128226627,0.103924603,0.096048451,0.100553435,0.095515922,0.108924916,0.113020892,0.10882092,0.102172711,0.1079437,0.110423351,0.111276532,0.110474172,0.108435548,0.10531171,0.104948523,0.100199514,0.098526349,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T000000+1000_REC_6989.543_6994.043.wav
0.451228222,0.738079418,0.946810628,0.321696345,0.436827683,0.399449556,0.292912635,0.534878559,0.607678508,0.411808602,0.511332045,0.722068876,0.421839584,0.154720011,0.067667205,0.063909221,0.058474807,0.048835643,0.039080759,0.067037308,0.057324937,0.035651144,0.046088976,0.02723484,0.013260578,0.036847123,0.038290354,0.035787772,0.030383381,0.034951154,0.037310859,0.035462332,0.03702982,0.034046129,0.035400482,0.037392706,0.038524619,0.033382405,0.030273931,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T020000+1000_REC_1146.999_1151.499.wav
0.490403833,0.781371455,0.924057595,0.226463618,0.413337276,0.446936183,0.456760959,0.621370574,0.599207342,0.311609331,0.432982803,0.525405952,0.247860165,0.224641614,0.145345275,0.147515616,0.127311132,0.110816584,0.084093927,0.094451149,0.095850909,0.097115885,0.093675998,0.085156056,0.092416535,0.09267172,0.092783115,0.09183003,0.084397019,0.082478283,0.085509228,0.081355882,0.081770112,0.086399606,0.090487538,0.090445683,0.086641027,0.083601305,0.085406895,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T020000+1000_REC_2568.958_2573.458.wav
0.286675303,0.642247316,0.816051079,0.236530111,0.405316894,0.509729347,0.445351917,0.728715602,0.641598998,0.437770571,0.466899812,0.708357248,0.368338283,0.259873428,0.159726269,0.134422318,0.128766658,0.141530317,0.120944796,0.123585583,0.122180482,0.128354397,0.12768307,0.118030614,0.117502656,0.123543624,0.127370299,0.12488658,0.11597045,0.109947115,0.111178051,0.115618624,0.11602239,0.117827112,0.118528026,0.116943584,0.118302573,0.113793464,0.112331525,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T020000+1000_REC_3775.501_3780.001.wav
0.173821469,0.527541221,0.804805543,0.348282161,0.483268951,0.530640777,0.378885931,0.678837714,0.641017925,0.508107908,0.475814351,0.689773037,0.309851781,0.281755526,0.208545553,0.175371252,0.16678024,0.171352236,0.161929988,0.186428785,0.175654153,0.15601929,0.173468101,0.170421157,0.170062705,0.170412688,0.16183058,0.15529315,0.150334944,0.152568929,0.15919285,0.160046423,0.155898731,0.1576198,0.153077717,0.157849783,0.159294271,0.154551378,0.151919969,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T020000+1000_REC_5294.965_5299.465.wav
0.146939727,0.477899102,0.755621509,0.395343154,0.549212805,0.619406221,0.415367959,0.748614577,0.659926081,0.516461795,0.480384685,0.710628467,0.283869819,0.236819296,0.14431779,0.146270352,0.12472726,0.128619898,0.103773811,0.083780811,0.103526696,0.123251728,0.115577043,0.122761865,0.113961561,0.110183699,0.107698801,0.113334464,0.104770085,0.095422177,0.103273838,0.104134326,0.104419099,0.110485511,0.106584068,0.107541063,0.105421306,0.10221779,0.101735093,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T040000+1000_REC_1580.403_1584.903.wav
0.118909268,0.443594301,0.745126669,0.412842766,0.552490889,0.633362555,0.426418726,0.703260786,0.585383229,0.465822059,0.479274212,0.744533416,0.361389724,0.276332119,0.200139134,0.188068759,0.171316768,0.153620672,0.141375939,0.152160958,0.16733622,0.172279285,0.135655567,0.125357623,0.130387426,0.153992304,0.146405558,0.139682797,0.143003622,0.145608199,0.139321045,0.14516287,0.144377844,0.145599776,0.14921299,0.142711656,0.145573367,0.146588321,0.140296489,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T040000+1000_REC_1599.319_1603.819.wav
